   701→| Women's Solid Tight Sleeveless Dress | WO0002 | XS–L | 3 | 260gsm/7.7oz | $8.99 | — |
   702→| Women's Mineral Wash Crewneck Bodysuit | WT0091 | S–2XL | 1 | 275gsm/8.1oz | $12.99 | — |
   703→| Women's Tight Flared Leg Quarter-Zip Jumpsuit | WO0009 | S–XL | 5 | 230gsm/6.8oz | $19.99 | NEW |
   704→| Women's Halter Flared Jumpsuit | WO0013 | S–2XL | 4 | 220gsm/6.5oz | $16.99 | NEW |
   705→| Women's Color Block Mini Dress | WO0004 | S–XL | 3 | 260gsm/7.7oz | $9.99 | — |
   706→| Women's Quarter-Zip Short Sleeve Romper | WO0012 | S–XL | 5 | 230gsm/6.8oz | $14.99 | BESTSELLER, NEW |
   707→| Women's Collared Halter A-Line Tennis Dress | WO0008 | S–2XL | 5 | 210gsm/6.2oz | $12.99 | BESTSELLER |
   708→| Women's V-Neck Short Sleeve Maxi Dress | WO0001 | S–XL | 3 | 260gsm/7.7oz | $12.99 | — |
   709→| Women's Binding Tight Halter Dress | WO0005 | S–XL | 3 | 210gsm/6.2oz | $9.99 | — |
   710→| Women's Paneled A-Line Dress | WO0010 | S–2XL | 5 | 210gsm/6.2oz | $16.99 | NEW |
   711→| Women's Dual-Function Cape Tie-Waist Romper | WO0006 | S–2XL | 5 | 250gsm/7.4oz | $16.99 | — |
   712→| Women's Color Block A-Line Sleeveless Dress | WO0011 | 2XS–XL | 3 | 220gsm/6.5oz | $16.99 | NEW |
   713→| Women's Full-Zip Ruched Bodysuit | WT0176 | S–XL | 3 | 315gsm/9.3oz | $14.99 | NEW |
   714→| Women's Ruched Sleeveless Full-Zip Dress | WO0015 | S–XL | 8 | 220gsm/6.5oz | $26.99 | NEW |
   715→
   716→### A11. Coats & Jackets (4 SKUs)
   717→
   718→| Name | SKU | Sizes | Colors | Fabric | Price | Badge |
   719→|---|---|---|---|---|---|---|
   720→| Women's Mock Neck Zip Up Cardigan | — | S–XL | 4 | 420gsm/12.4oz | — | NEW |
   721→| Women's Crop Denim Jacket | WT0186 | S–XL | 2 | 420gsm/12.4oz | $29.99 | NEW |
   722→| Women's Full-Zip Sports Jacket | WT0162 | S–XL | 3 | 230gsm/6.8oz | $16.99 | NEW |
   723→| Contrast Side Stripe Fleece Cropped Track Jacket | WQ0004 | S–XL | 4 | 420gsm/12.4oz | $26.99 | — |
   724→
   725→### A12. Polo Shirts (4 SKUs)
   726→
   727→| Name | SKU | Sizes | Colors | Fabric | Price | Badge |
   728→|---|---|---|---|---|---|---|
   729→| Women's Slim Fit Quarter-Zip Polo Shirt | WT0163 | 2XS–XL | 5 | 160gsm/4.7oz | $12.99 | NEW |
   730→| Essential Cropped Polo Shirt | PL0007 | S–XL | 3 | 200gsm/5.9oz | $9.99 | — |
   731→| Bodycon Short Sleeve Polo Shirt | PL0008 | S–XL | 3 | 260gsm/7.7oz | $9.99 | — |
   732→| Women's Knit Cotton Polo Shirt | WT0172 | S–XL | 4 | 180gsm/5.3oz | $14.99 | NEW |
   733→
   734→**Blank Apparel total: 284 rows extracted** (source stated 281 items across pagination; a handful of near-duplicate name/SKU pairs from overlapping page loads were kept as-is rather than guessed away — flag these for dedup during import: `Snow Washed Crop Top` ×3 SKUs, `Women's Drawstring Shorts` ×2 SKUs, `Women's Vintage Wash Wide Leg Jeans` ×4 SKUs, `Essential Cropped Hoodie/Zip-Up Hoodie` ×2 each, `Women's High Rise Color Block Yoga Shorts` ×2, `Women's Cropped Sports Bra` ×2 — these look like genuine colorway/wash variants of the same style, not errors.)
   735→
   736→---
   737→
   738→## PART B — Print-on-Demand Apparel (no fixed color count; price = base print cost)
   739→
   740→| Name | Sizes | Price | Tier |
   741→|---|---|---|---|
   742→| Custom Printed Women's shirts (All-Over Printing) | S–3XL | From $9.28 | — |
   743→| 280gsm Custom Best Hoodies-Double-Layer Cap Women's Hoodies | S–6XL | From $9.92 | — |
   744→| Loose High Waisted Shorts (All-Over Printing) | S–3XL | From $7.46 | — |
   745→| 180gsm Custom Women Top T-Shirts (All-Over Printing) | S–6XL | From $5.74 | — |
   746→| DTG 150gsm Custom Personalized T-Shirts-Dual-Sided Printing | S–3XL | From $5.91 | — |
   747→| Custom Printed Honeycomb Textured Yoga Pants for Women | S–2XL | From $10.14 | — |
   748→| Custom Crewneck T-Shirts (All-Over Printing) | S–5XL | From $5.76 | — |
   749→| Custom Printed Mom Shirts (All-Over Printing) | XS–5XL | From $6.39 | — |
   750→| Swimsuit Cover-up (All-Over Printing) | One size | From $13.63 | — |
   751→| Baggy Pants for Women (All-Over Printing) | S–2XL | From $7.03 | — |
   752→| Sleeveless Ankle-length Dress (All-Over Printing) | S–5XL | From $10.24 | — |
   753→| V-Neck Baggy Dress with Pocket | S–5XL | From $8.31 | — |
   754→| Summer Sweet Bowknot Dress (All-Over Printing) | 2XS–6XL | From $12.77 | — |
   755→| DTF 190gsm Designer T-Shirts for Women-Front Prints | S–2XL | From $6.98 | — |
   756→| DTF 255gsm Custom Designed Women's Hoodies Front Prints | S–3XL | From $10.03 | — |
   757→| DTF 255gsm Custom Hoodies for Women Dual-Sided Prints | S–3XL | From $12.17 | — |
   758→| DTG 150gsm T-Shirts for Women-Printed Tees (Front Printing) | L–3XL | From $4.91 | — |
   759→| Custom Printed Patterned Ribbed Yoga Sets (All-Over Printing) | S–2XL | From $8.53 | — |
   760→| DTF 190gsm Custom Designed Women's T-Shirts-Dual-Sided Printing | S–2XL | From $8.14 | — |
   761→| 180gsm Women's Tank Top (All-Over Printing) | S–2XL | From $5.10 | — |
   762→| Custom Printed Yoga Pants with 2 Pockets (All-Over Printing) | S–2XL | From $11.31 | — |
   763→| Custom Printed Yoga Tank Tops (All-Over Printing) | S–2XL | From $7.24 | — |
   764→| Custom Printed Yoga Workout Outfits (All-Over Printing) | XS–2XL | From $10.69 | — |
   765→| Custom Women's Long Sleeve U-Neck T-Shirts (All-Over Printing) | S–5XL | From $6.34 | — |
   766→| Round Neck Sleeveless Dress Styles | XS–5XL | From $7.03 | — |
   767→| Cover-up Dress for Swimwear (All-Over Printing) | S–2XL | From $12.45 | — |
   768→| Women's Halter One-Piece Swimsuits (All-Over Printing) | S–2XL | From $11.31 | — |
   769→| Sleeveless Dress | S–5XL | From $6.39 | — |
   770→| Ankle-length Slip Dress (All-Over Printing) | S–5XL | From $10.24 | — |
   771→| Beach Wrap Skirt (All-Over Printing) | S–2XL | From $4.03 | — |
   772→| Halter Tie Front Bikini Top (All-Over Printing) | S–2XL | From $5.76 | — |
   773→| Halter Tie Front Bikini Set (All-Over Printing) | S–2XL | From $8.53 | — |
   774→| Two Piece Halter Swimsuit (All-Over Printing) | XS–2XL | From $8.53 | — |
   775→| Halter Triangle Bikini (All-Over Printing) | XS–2XL | From $9.39 | — |
   776→| 2-Piece Women's Halter Tankini (All-Over Printing) | XS–XL | From $11.96 | — |
   777→| Tankini Two Piece Swimsuit (Top Printed) | S–3XL | From $12.60 | — |
   778→| 280gsm Custom Sweatshirt Designs Raglan Style | S–3XL | From $7.84 | — |
   779→| Custom Sports Bra Designs-Yoga Support Bras | S–2XL | From $7.14 | — |
   780→| Custom Printed Patterned Yoga Sports Bra | S–2XL | From $7.14 | — |
   781→| DTG 190gsm Customized Dual-Sided Printed T-Shirts for Women | S–2XL | From $9.43 | — |
